text	label
አቶ መኮንን ደመቀ     ህወሀትን ገፍተን ውህደት እንዴት ይሆናል አይታሰብም አሉ የተባለው እውነት ነውዴ	neutral
በቃ ሰገራህን በየ አደባባዪ ትፀዳዳለህውርደታቸውን እንደ ክብር ያያሉ   ደነዝ	negative
እስኪ ለዚህ ሰው ትንሽ ሰላም ብንሰጠው ሁሉን ያሳካል አማራው ኦነግ ሲለው ኦሮሞው ነፍጠኛ ሲለው ትግሬው ጠላቴ ሲለው ይሄ ሰው ምን ይሁን	neutral
መንግስት እንደኛው ዞሮበታል  	negative
ጎን ለጎን ሚዛን አስጠብቃለው ጂም ከመሄድ ይሻላል በማለት ነው በአካል ለመወፈር ብዙ መርሳት ያለብኝ ጉዳዮች አሉ   አካበድኩት	neutral
ላንተ አይደለም	negative
እኔ ደግሞ የባርሳን አንተም ከነትርጉሙ እችለዋለው እንቁልልጭ  	negative
ምርጫ ካርዱ ዱባይ የሚታተም ሲሆን ድምፅ ቆጣሪውን ላለማንገላታት ከእነ ውጤቱ ቢታተም እላለው	neutral
ከአመታት በፊት ይሰራበት የነበረው አጠቃላይ አስመጪ የሚል ፈቃድ እንዲቀር ተደርጓል የንግድ እና ኢንዱስትሪ ሚኒስቴር እንደሚለው የንግድ ስርአቱ ችግር እንዳለበት በመረዳት ማስተካከ	negative
እስኪ ኮርርርር በል ኮተት የናዚ ጃዋርን ምስል ይዘህ እስክንድርን የመናገር ብቃት ኬት አገኘህ ቦቲ ራስ	negative
ይህ እኮ በ ቀን የተፈፀመ ብዙ ሰወች ያዩት ወንጀል ነው  በ ጄል አሳምነው መሪነት በዘምርነ እና ማስረሻ አ	negative
ውይ ቻይና ውይ መቼ ነው ግን ካንቺ ደህና ነገር ሚገኘው	negative
ምስክር የሌለው ሰው ይሄንን መፅሀፍ ሊያገኝ አይችልም ወይ  እኔ ከሳቴ ብርሀን ተሰማ የፃፉትን የዱን የአማርኛ መዝገበ ቃላት  ብር ገዝቼ አውቃለሁ በብላክ ከመርካቶ አሮጌ ተራ	neutral
በአማራ ክልል የተከሰተውን የነዳጅ እጥረት ለመቅረፍ እየተሰራ መሆኑን የክልሉ ንግድና ገበያ ልማት ቢሮ አስታወቀ	neutral
ደግሞ ጃዋርን የሚደግፍ ሁሉም ወያኔዎች ማለት ጀመራቹ ትንሽ ቆይታቹ ኦሮሞ ሁሉ ምን ልትሉት ይሆን	neutral
መስጠት ማለትስማኝ ለኔ እደሚገባኝ  ልብን ማዘጋጀት በጎነት ማሳየት መንፈስን ማሳመን  መጨመር ደግነት ከሁሉም  ከሁሉም በርግጥ መስጠት ማለት ቀና ነገር ማሰብ ቅን ሆኖ መገኘት	positive
በአሁኑ ሰአት አብይን መደገፍ ምርጫ አይደለም ግዴታ እንጂ	neutral
አይፍሩ   ወደ የዊካ ጎኑ ወደዚህኛው  ወደ የሱፍ ሶስተኛው መጨረሻ ይምጡ	neutral
  ከብልፅግና ወደ ኦሮሞ ፓርት ዝውውር የሚያደርግ ከሆነ አሁን ከሚካፈለው  በሶስት እጥፍ አሳደገን  ለመክፈል ዝግጁ ነን ምን ትላለህ መኮ	neutral
የክልሎች ግንኙነት ረቂቅ አዋጅ ላይ ለመወያየት የአንድም ክልል ተወካይ አልተገኘም ኢፕድ   እስቲ የሀገር ለሀገር ግንኙነት ብላቹ ጥሯቸው ይመጣሉ ሰዶ ማሳደድ	neutral
የሚደንቅ ነው እሺ ስለ ፕሬዝደንት ነጋሶ አሿሿም የተናገረውስ መፅሀፉን ያነበበ ሰው እግረ መንገዱን ቢያረጋግጥልን ሸጋ ነበር	negative
ሰለቸኝ ጌታን ሰው ወደ አውሬነት እየተለወጠ ነው ደከመኝ ደከመኝ ጌታ ሆይ አረ ምን አይነት ዘመን ነው ሰው ፔጅ ላይ ሄዶ ያንን ሰው ሙሉጭ አርጎ መስደብ ምን ይሉታል መሳደብ ይቀላል ወይስ ያንን ፔጅ አለማየት	neutral
አቶ ለማ መገርሳ መድረክ ላይ ሆነው ውህደቱ አስፈላጊ አይደለም የመደመር እሳቤው አያስኬድም አላሉም አማራጭም አላቀረቡም አቶ ታየ ደንዷ  	negative
ድህነት ላይ ድህነት መደራረብ ምስኪን ህዝብ	negative
የኢትዮጵያ አየር መንገድ ግሩፕ መሰረታዊ የሰራተኛ ማህበር ሊቀመንበር ካፒቴን የሺዋስ ፈንታሁን እንደገለፁት ምንም እንኳ በተቋሙ አለቃ የመፍራት መንፈስ የቆየ ቢሆንም በአሁኑ ወቅት	neutral
እኔን በመናቅ ምክንያት አንቺን እና ቤተሰቦቻችሁን የሚያስፈራራ የ  አጋንንትን ቁጣ ትጋፈጣላችሁ	negative
የመመረጥ እድሉ ሰፊ ይሆናል ህዝቡ ደራሽ ይፈልጋል እምነት መጣል ይፈልጋል እንፈልጋለን በዘር ከፋፍሎ ህዝብ  ከህዝብ	neutral
የአገር ውስጥ ምርቶች ብቻ የሚቀርቡበት መድረክ	neutral
ልትበጣጠስ አንድ የተቃረነ አረፍተነገር ከመሪው እየጠበቀን የነበረን ህዝብ  አሁንም እንደሀገር መመራቱ አያስገርምም እኔ ተአምር ነው ባይ ነኝ	neutral
አሳዳጆች ነበር አሁን ደሞ በተራችን ተሳዳጆች ሆንን አለህ እኮ ህሊናው የቀጣው እና ጥፋቱን ያመነው ቢኒያም ከትህነግ ውስጥ አንድ ጥፋቱን ያመነ ሰው	neutral
ይገባቸዋል  ሁሌም  ከጎንህ ነን  የቁርጥ ቀን ልጅ አስተዋዮ መሪዬ 	positive
ጥንካሬያችሁ የሚለካዉ መጀመሪያ ለአባላቶቻችሁ ዋስትና መሆን ስትችሉ ነው እነ ክርስቲያንን አስፈቱ	neutral
    ይለኛል እንዴ  ሸይኽ አህመድን ጀበሉ ሀፊዞሁሏህ   ይበልጥ ጀበል ሆነ	neutral
የመጀመሪያው ገዢ ነው የምሆነው 	neutral
የፕሪምየር ሊግ ስድስተኛ ሳምንት ቁጥሮች እና እውነታዎች	neutral
ለአንተ አይደለም በለኝ አምላኬ ይቺ ልጅ 	neutral
ከባለቤቴ ራቁ  ወደኋላ አቆይ ወይም አደርገዋለሁ ቁጣዬ እና ስቃይህ ወሰን የለውም  ደምህ መንገዶቹን ቀይ ያደርጋቸዋል ስቃይ ብቻ አይሰማ	negative
ይቅርታ አድርግልኝና አህመዲን አሁንም ቢሆን የተባለው ንግግር የቱ ህገመግቢያ መሆኑን ማስረጃ ማቅረብ አልቻለም የአፄው መንግስት ለሙስሊሞች አስከፊ እነደነበር	neutral
ከድስቱ ነው እቱ ወይም ከቁሌቱ ሽሮን የመሰለ የለም የምግብ ብርቱ	neutral
መሪዬ ጌታ በደሙ ይሸፍንክ ስላንተ ሳስብ ይደክመኛል እንደ ድፎ ዳቦ እሳቱ ነደደብክ በጣም ነው እምታሳዝነኝ ዬ መሪ  አብይ አህመድ በፀሎትም በድምፅም ከጎንህ ነኝ	positive
የ ኦሮሚያ ክልል የሚንቀሳቀስ የ አሸባሪ ቡድን 	negative
የ   ጣእም በአለም አቀፍ ደረጃ እውቅና እንዳለው ያውቃሉ	neutral
ለአማራ ብሄርተኛ ግን እምቢልታ የሚነፋበት ጊዜ እንዳለፈ አሁን ለእሱ እምቢልታ መንፋት ፀያፍ እንደሆነ እየተናገርኩ መሰለኝ	neutral
 እኔ የማውቀው መሀል አዲስ አበባ ተወልጄ ማደጌን ነው ነገር ግን ከነጮቹ  የሸዋ ገበሬ የእህል ማሳ እና የአደይ አበባ ውበት ይቀርበኛል ብዬ አስባለሁ	neutral
በሆሳእና ለኦርቶዶክስ ዜሮ ካሬ ለአህዮች መቆሚያ ሺህ ካሬ ለፓስተሮቹ ለዮናታን  ካሬ ለሳህሉ  ሺህ  ለእስራኤል ዳንሳ  ሺህ ካሬ	neutral
ሲዳማ ራስን የማስተዳዳር ጉዞ ጥናታዊ ፅሁፍ ፊላታ ቦሮጄ ቃዬርዲን ተዘራ ጋር የሰሩትን ጥናት አቅርበው ጥሩ ውይይት ከብቃት ያላቸው እንግዶች ጋር ማድረጋቸውን ገለፁ	positive
በክርስቶስ የባሰው መጣ  የቤተ ክርስቲያን ስልጣን ነው እንደ መሪ ጌታ ወይስ የ  አዲሱ 	neutral
ችግሩን ከመሰረቱ መፍታቱ ነው የሚያዋጣም ማለባበሱ አይጠቅምም	positive
ዘውጌ መቼም ቢሆን ብሄርህን ካልቆጠርኩ ነው የሚልህ	neutral
ሰው ባለስልጣን ሲሆን የአክስቱን ልጅ መርዳት ያቆማል ወይም አይችልም ያለው ማነውይኼን ለማድረግ እኮ የሚጠይቀው ሰው መሆን ብቻ ነውያው የአጎቴ ልጅ ስለሆነ ነው ይቅርታ	neutral
ተብድረው መክፈል ባይችሉ ባንኩ ከተማውን ሊወርሰው ነው	neutral
እኔና የቀን እንቅልፍ አንተዋወቅም	neutral
ረዳቶቹ ሴት ቢሆኑ ኖሮ ፓርቲ ትቀይራለህ	negative
መቼም ከናንተ የተሻለ ሲመጣ ያማችኋል ይህ የህውሀት ክፉና መጥፎ በሽታ ነው	neutral
የኢትይፕጵያን ኡነተኛ አመሰራራት እና የረጀም ጊዜ ያላቋረጠ መንግስት ግንዛቤ ውፅት ሲገባ ነው ፌደራሊዝም የሚለው አካሄድ ትክል መልክ ሊይዝ	neutral
እኛ እሄንን ድርጊት ከማውገዝ ይልቅ ዝምታን የመረጡበተለይ ወጣቶቹ የጢቅት ሰዎች የጥፋት ተልእኮ ማስፈፀሚያ የሆኑተቋሞቻችን የተሰጣቸውን ሀገራዊ ግዴታ መወ	negative
ብፁእ አቡነ ማቴዎስ እድሜትን ያርዝምልን  አባታችን በሰአሊተ ምህረት ቅማርያም ቤተ ክርስቲያን እጅግ በሚደንቅና ልብን በሚያስደስት ቃል አስተማሩን የአመት ሰው ይበለን	neutral
በፈሳሞች ላይ ቢጀመር ጥሩ ነበር	negative
እነ አፄ ሚኒሊክ የሚሉት ኡነት ነው ኢትይጵያ በሀዛብ እና በአረመኔ ከግራኝ ጀምሮ ብዙ ተሰቃይታለች  ትክክል ለመሆኑ ማንኛውም የ	neutral
ለገና ከወጡ ዝማሬዎች ውስጥ የተባረኩበት ድንቅ ዝማሬ  በዜማ ለክርስቶስ አማኑኤል የሚለው ነው      በ      በሚማርክ መንገድ ውብ ተደ	positive
እንኳን ለብርሀነ ልደቱ በሰላም አደረሰን አደረሳችሁ መልካም ልደት በአል 	positive
የፈሪ ዱላው አቅመ ደካሞች ላይ ነው ጉልበት አለኝ ብሎ ውጊያ የገጠመማ ወታደር እንጂ ተማሪዎችን ከመንገድ አፍኖ አያግትም ሰላም የማይጥመው በሀገሪቱ የተበተነ ማፍያ ሁሉ አቅመ	neutral
እውነት ነው  ግን ምን አለበት እውነተኛ ለሆነው እስክንድር ነጋ  ለእውነት የቆመውን እስክንድር ነጋን አንተም ነፃነቱን ሰጥትህ እሱን እንደመከርከው አንተም ደሞ	positive
የአማራ ባለስልጣናት በሀሳብ መሞአገት አቅቶት ተገዳደለኦሮሞ ግን በሀሳብ እየተፋጬ ነው እና የቱ ነው ስልጡን ህዝብ ወይስ ስልጡን መሪ ባሻዬ  ማፈሪያ	negative
በኦዴፓ ከፍተኛ አመራሮች መካከል የተፈጠረው ልዩነት  የግብፅ ጋዜጦች ዋነኛ የዘገባ ርእስ ሆኗል እንዴት ነው ግብፅም ፌደራሊስት ሆነች እንዴ እንደው ለማወቅ ያህል ነው 	neutral
የኔ ውሻ የኔ  ኪሎ የኔ  ቁጥር የኔ ፊክሪ  እንዴት ሆኜ የወለድኩትን ልጅ እናቱ ውሻ ትለው የእለት መጣያ ሰበብ አታሳጣኝ በቁንጥጫ ለምዝጌ አሁን በኛ ማርሽ ወደቢሮ እየቆስኩት ያሁነያ	neutral
ስብሰባ መከልከል ብቻ ሳይሆን የህግ እውቅናውም ሊቀማ ይገባል  ይህ ሀይል ነው ሞጣ ላይ የ ሙስሊሞችን መስጅድ እና ንብረት ያወደመው	negative
ኢህአዴግ በክህደት ነዉ የፈረሰዉ  የህወሀት ጉባኤተኞች እሁድ ማምሻውን አስቸኳይ ስብሰባቸውን ሲጠናቀቁ ባወጡት የአቋም መግለጫ ኢህአዴግ በክህደት ፈርሷል ብልፅግና ከተባለው ፓርቲ ጋ	negative
እኔ ከቶቹ እንደ አንዱ መሆኔን አውቃለሁ 	positive
 በጣም እያስቸገሩን ስለሆነ ወለጋ እና ወያኔ መጥፋት አለባቸው  መንግስቱ ሀማርያም	negative
ለህብረተሰቡ ጥቅም ነው የምንሰራው እያላችሁ የምትምሉ የምትገዘቱ ሚዲያዎቻችን እስቲ አንዴ እንኳን ለቃላችሁ ታመኑ የጋዜጠኝነትን ሀሁ ተወጡ	positive
ይሄ ዜና ነው ስብሰባው ከመደረጉ  በፊት ማለት ትችሉ ነበር	neutral
የቀን ጅቦች ጉራ መሆን አለበት  እንጂ ጤነኛ አንጎል ያለው ገንዘቡንና ስሙን እንደው ዝም ብሎ አያጠፋም	negative
እንደምን አደራችሁ ቀናችሁን በእውቀት ጀምሩ በአዲሱ ኪዳን አገልጋይ የህዝብ አለቃ አይደለም እንደ ስሙ አገልጋይ እንጂ ዘወትር ሰኞ ምሽት  ከሚሰጡ ተከታታይ ትምህርቶች	positive
ዛሬ በመዲናችን አዲስ አበባፊንፊኔ ታላቁ የአካል ብቃት እንቅስቅሴ ተካሄዷል  በሁላችን ጥረት ስፖርት የህዝባችን ባህል ይሆናል	positive
እንደ አይን ብሌን ጠብቀኝ በክንፎችህ ጥላ ሰውረኝ	positive
ጎጃሜዎች እንዲህ የሚል ስድብ አላቸው   እንጭቅ  ምን ማለት እንደሆነ ግን አላውቅም	negative
በጥቂት ወሮ በሎች የዋህ እና ያልበሰለ አእምሮአቸው ስለተሰለበ ነው ብዬ አምናለሁ እኛ  እድሜ ስናድግ ይህ መርዛማ ስርአት ገና ስር አልሰደደም ነበር አሁን ግን እውነታው ሌላ ነው	neutral
የአሁኑ ሰአት ፖለቲከኞቻችን በጨለማው ሰአት ለፖለቲካ ፍጆታ የተመለመሉ እና ለ፳፯ አመት አንድም የፖለቲካ ውሳኔ ያላስተላለፉ ግብስብሶች የነበሩ መሆናቸውን ያለው ሁኔታ ቁልጭ አድርጎ ያሳያል	positive
ሁሌም እውነት አይደለም የተለየ ኮንቴክስት ያጋጥማልበአፍ መፍቻ ቋንቋ መማርን ተመልከትመንግስት ፖሊስ ቀርፆካሪኩለምመምህራ	neutral
መጀመሪያ ኤርትራ ሏላዊ ሀገር መሆኗን ማመንና መቀበል አለብን ከዛ በተረፈ ከሌላው አገራት ጋር እንዳለን ግንኙነት በሰላማዊ መንገድ መኗኗር እንችላለን ከዛ	positive
የሚገርም አርቲስት የወጣው ነበር ያለቦታው ገብቶ ሀገሪቷን አጨማለቃት	negative
      ምናለ ግን ባትጠራሩ ኧረ ተፋቱኝ በጌታ አንዱ አርእስት አንስቶ የምታወሩበት አጋጣሚ እየጠበቃችሁ ነበር አ	neutral
ጠቅላይ ሚንስትሩ ከኦሮሚያ ክልላዊ መንግስት ርእሰመስተዳድር ጋር ቦረና ዘልቀዋል እንደተደረገላቸው ደማቅ አቀባበል ሁሉ ከህዝቡ ጋር በሚገባ ተገናኝተው እና ተወያይተው እንደሚመለ	positive
ይቺን አውቆ ነው ዶር አብይ ክርስቲያን የሆነዋኧረ ጀንፈሉ ይህ እንጣጥ እንጣጥ ዋዋዋ	neutral
እርግጠኛ ሆኘ መናገር የምችለው ጭቆናና መብትን ካንተ ባልተናነሰ ጠንቅቄ እንደምረዳ ነው አይ ያንተን መጨቆን እኔና ኢብራሂም ካንተ በላይ እናውቃለን የምትለኝ ከሆነ ስቄ ባልፈው ነው	neutral
ምንም አይደለህም ሽሪምፕ   አይኖቼን ዝግ በማድረግ ልገድልህ እችላለሁ 	negative
በጨለማ ነፍሳችን ውስጥ  ይህ ሰው በመንፅሄ ጉድጓዶች ውስጥ ዘላለማዊ ተስፋ መቁረጥን ለመቅጣት ቴይለር ስዊፍ ጋኔን እንፀልያለን	negative
ትራስ ጨርቅ ቀይሩ እስኪ	neutral
እንዴ ታውቆሀል    አልክ እኮ ሰውዬው ምነው እድሪስ አልባ ነኝ ተጫወትክሳ 	negative
ወለጋ ዩኒቭርስቲ ተማሪዎች በመንገድ ያላሰቡት ገጠማቸው	negative
ልዩነቱ ሰርግና ምላሽ የሆነላቸው ከመከፋፈል ጥቅም የሚመኙ ናቸው አናሳ አስተሳሰብ ያላቸው ጎልተው የሚታዩት ትንሽ ስብስብ ውስጥ ስለሆነ የሀገር ማነስ የነሱ መግዘፍ	positive
